,Order Date,Sales,Trend,Seasonal,Residual,is_holiday,day_of_week,month,quarter,rolling_mean_7,rolling_std_7,rolling_max_14,rolling_min_14,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_30
0,2014-01-03,16.448,1300.319795076402,-1449.0965156400853,165.22472056368338,False,4,1,1,,,,,,,,
1,2014-01-04,288.06,1300.9202835273782,-1069.1965811087482,56.33629758136999,False,5,1,1,,,,,16.448,,,
2,2014-01-05,19.536,1301.5211050500789,-870.7730115595351,-411.2120934905438,False,6,1,1,,,,,288.06,,,
3,2014-01-06,4407.1,1302.122260947275,3120.2035853764014,-15.225846323676024,False,0,1,1,,,,,19.536,,,
4,2014-01-07,87.158,1302.7237527644859,-1431.0741424051064,215.5083896406204,False,1,1,1,,,,,4407.1,,,
5,2014-01-09,40.544000000000004,1303.3255820919605,-1269.8753538426265,7.093771750666065,False,3,1,1,,,,,87.158,,,
6,2014-01-10,54.83,1303.9277504012298,-1158.9259507372897,-90.17179966394019,False,4,1,1,701.9537142857143,1636.5224669199947,,,40.544000000000004,,,
7,2014-01-11,9.94,1304.5302591474306,-1400.7670965772,106.17683742976942,False,5,1,1,701.024,1636.9785965951623,,,54.83,16.448,,
8,2014-01-13,3553.795,1305.1331098278722,1585.7876785366416,662.8742116354863,False,0,1,1,1167.5575714285715,1937.454586758948,,,9.94,288.06,,
9,2014-01-14,61.96,1305.7363038010706,-1473.5086927357254,229.73238893465486,False,1,1,1,1173.618142857143,1933.326882273182,,,3553.795,19.536,,
10,2014-01-15,149.95,1306.3398419971645,-156.13189991835978,-1000.2579420788047,False,2,1,1,565.4538571428571,1318.4562917556811,,,61.96,4407.1,,
11,2014-01-16,299.964,1306.9437252657128,-1247.6702809864332,240.69055572072034,False,3,1,1,595.8547142857143,1308.001682727092,,,149.95,87.158,,
12,2014-01-18,64.864,1307.5479549704744,99.8249680277513,-1342.5089229982257,False,5,1,1,599.3290000000001,1306.3120522250158,,,299.964,40.544000000000004,,
13,2014-01-19,378.59400000000005,1308.1525326792369,-1110.942794200669,181.3842615214321,False,6,1,1,645.5810000000001,1289.4428456653927,4407.1,9.94,64.864,54.83,,
14,2014-01-20,2673.87,1308.7574606766418,809.0572284128071,556.055310910551,True,0,1,1,1026.1424285714286,1453.2781847517306,4407.1,9.94,378.59400000000005,9.94,16.448,
15,2014-01-21,25.248,1309.3627412642873,-1279.849178646902,-4.265562617385285,False,1,1,1,522.0642857142858,957.9669105457507,4407.1,9.94,2673.87,3553.795,288.06,
16,2014-01-23,46.019999999999996,1309.9683764074764,-939.292276547277,-324.65609986019945,False,3,1,1,519.7871428571428,959.2609586529665,4407.1,9.94,25.248,61.96,19.536,
17,2014-01-26,1097.25,1310.5743680467394,-943.7023876308499,730.3780195841105,False,6,1,1,655.1157142857144,965.1922610032523,3553.795,9.94,46.019999999999996,149.95,4407.1,
18,2014-01-27,426.67,1311.1807182104696,-967.2651563487285,82.75443813825882,False,0,1,1,673.2165714285715,958.5873131170428,3553.795,9.94,1097.25,299.964,87.158,
19,2014-01-28,3.9280000000000004,1311.7874285531034,-1755.1841194561296,447.3246909030263,False,1,1,1,664.5114285714286,965.2859425501601,3553.795,3.9280000000000004,426.67,64.864,40.544000000000004,
20,2014-01-30,240.5,1312.3945005204175,-917.9635939929568,-153.93090652746082,False,3,1,1,644.7837142857143,973.4795274282369,3553.795,3.9280000000000004,3.9280000000000004,378.59400000000005,54.83,
21,2014-01-31,290.666,1313.001935319798,-409.9033651582343,-612.4325701615636,False,4,1,1,304.326,383.5801428888951,3553.795,3.9280000000000004,240.5,2673.87,9.94,
22,2014-02-01,468.90000000000003,1313.6097342716878,-40.10258767433297,-804.6071465973548,False,5,2,1,367.7048571428572,366.033757727082,2673.87,3.9280000000000004,290.666,25.248,3553.795,
23,2014-02-02,211.64600000000002,1314.2178991787753,-359.04652740262594,-743.5253717761493,False,6,2,1,391.36571428571426,346.6118475632891,2673.87,3.9280000000000004,468.90000000000003,46.019999999999996,61.96,
24,2014-02-03,97.11200000000001,1314.8264324895695,-1496.1628717527128,278.4484392631434,False,0,2,1,248.48885714285714,166.4605491955217,2673.87,3.9280000000000004,211.64600000000002,1097.25,149.95,
25,2014-02-04,134.38400000000001,1315.435337148953,-769.2251769719903,-411.82616017696273,False,1,2,1,206.73371428571429,150.17858352609147,2673.87,3.9280000000000004,97.11200000000001,426.67,299.964,
26,2014-02-06,330.512,1316.0446161156522,-1197.5462728871971,212.0136567715449,False,3,2,1,253.38857142857145,125.35005524643466,2673.87,3.9280000000000004,134.38400000000001,3.9280000000000004,64.864,
27,2014-02-07,180.32,1316.6542725170877,-1251.9927808435089,115.65850832642104,False,4,2,1,244.7914285714286,128.40777682945927,2673.87,3.9280000000000004,330.512,240.5,378.59400000000005,
28,2014-02-08,14.56,1317.2643094125722,-1387.0351856650318,84.33087625245957,False,5,2,1,205.34771428571432,152.17464261138656,1097.25,3.9280000000000004,180.32,290.666,2673.87,
29,2014-02-11,2043.4,1317.8747297642399,456.7968055214193,268.72846471434104,False,1,2,1,430.27628571428573,718.0725466046149,2043.4,3.9280000000000004,14.56,468.90000000000003,25.248,
30,2014-02-12,129.568,1318.4855364421678,-1600.212518148907,411.29498170673924,False,2,2,1,418.5508571428572,722.891527670052,2043.4,3.9280000000000004,2043.4,211.64600000000002,46.019999999999996,16.448
31,2014-02-14,576.7259999999999,1319.0967321074818,462.5981259397294,-1204.9688580472114,False,4,2,1,487.0671428571428,709.9610355203598,2043.4,3.9280000000000004,129.568,97.11200000000001,1097.25,288.06
32,2014-02-15,21.36,1319.7083193296132,-1702.5522617806396,404.20394245102625,False,5,2,1,470.92085714285713,720.5253705455543,2043.4,3.9280000000000004,576.7259999999999,134.38400000000001,426.67,19.536
33,2014-02-16,9.039999999999997,1320.3203012322845,-1549.9750718914675,238.69477065918295,False,6,2,1,424.99628571428576,740.9224737676025,2043.4,9.039999999999997,21.36,330.512,3.9280000000000004,4407.1
34,2014-02-17,54.208,1320.9326808585172,-1650.8966093117106,384.17192845319346,True,0,2,1,406.98028571428574,749.3488403322159,2043.4,9.039999999999997,9.039999999999997,180.32,240.5,87.158
35,2014-02-18,37.784,1321.545461020876,-1141.794916266566,-141.96654475431,False,1,2,1,410.29799999999994,747.3706435667192,2043.4,9.039999999999997,54.208,14.56,290.666,40.544000000000004
36,2014-02-20,95.59,1322.1586443159913,-1693.759561571918,467.1909172559267,False,3,2,1,132.03942857142854,200.58307839799818,2043.4,9.039999999999997,37.784,2043.4,468.90000000000003,54.83
37,2014-02-21,8.849999999999998,1322.7722333075692,-306.89752620734384,-1007.0247071002253,False,4,2,1,114.79399999999998,205.94866744895054,2043.4,8.849999999999998,95.59,129.568,211.64600000000002,9.94
38,2014-02-22,19.44,1323.386230466847,-1294.152042975145,-9.794187491702132,False,5,2,1,35.181714285714285,31.180982931424946,2043.4,8.849999999999998,8.849999999999998,576.7259999999999,97.11200000000001,3553.795
39,2014-02-23,11.364,1324.0006387512988,-1621.4907199864365,308.85408123513776,False,6,2,1,33.75371428571428,32.13381297900722,2043.4,8.849999999999998,19.44,21.36,134.38400000000001,61.96
40,2014-02-24,55.672000000000004,1324.6154612245368,-2099.4915431024556,830.5480818779188,False,0,2,1,40.41542857142857,30.969033279779712,2043.4,8.849999999999998,11.364,9.039999999999997,330.512,149.95
41,2014-02-27,19.456000000000003,1325.2307006809979,-1442.3219278741612,136.54722719316328,False,3,2,1,35.450857142857146,31.17429487801196,2043.4,8.849999999999998,55.672000000000004,54.208,180.32,299.964
42,2014-03-01,2203.151,1325.846359416074,-14.615382008777798,891.9200225927038,False,5,3,1,344.78899999999993,820.052729947897,2203.151,8.849999999999998,19.456000000000003,37.784,14.56,64.864
